full_name,spkid,neo,pha,a,e,i,q,ad,per,n,ma,H,diameter,albedo,rot_per,GM,spec_B,spec_T
(1998 SD9),3014184,True,False,0.702,0.504,2.99,0.348,1.06,215.0,1.67,233.0,24.09,,,,,,
99942 Apophis (2004 MN4),20099942,True,True,0.922,0.191,3.34,0.746,1.1,324.0,1.11,313.0,19.09,0.34,0.35,30.56,,,
480883 (2001 YE4),20480883,True,True,0.677,0.54,4.85,0.311,1.04,203.0,1.77,193.0,20.92,,,,,,
2340 Hathor (1976 UA),20002340,True,True,0.844,0.45,5.86,0.464,1.22,283.0,1.27,202.0,20.43,0.3,,3.35,,,
524522 Zoozve (2002 VE68),20524522,True,True,0.724,0.41,9.04,0.427,1.02,225.0,1.6,329.0,20.54,,,13.5,,,
(2002 BF25),3102784,True,False,1.07,0.222,6.31,0.837,1.31,407.0,0.885,223.0,22.62,0.152,0.1,,,,
(2012 UR158),3614980,True,True,2.23,0.858,3.19,0.317,4.15,1220.0,0.296,310.0,20.67,0.629,0.023,,,,
523599 (2003 RM),20523599,True,False,2.91,0.606,11.0,1.15,4.68,1820.0,0.198,172.0,19.64,,,,,,
(2000 EB14),3031176,True,False,0.896,0.496,11.6,0.452,1.34,310.0,1.16,35.3,23.43,,,1.79,,,
483656 (2005 ES70),20483656,True,False,0.763,0.386,20.8,0.468,1.06,244.0,1.48,211.0,23.77,,,1.69,,,
(2009 BD),3444297,True,False,1.06,0.0519,1.27,1.01,1.12,400.0,0.9,120.0,28.1,,,,,,
480808 (1994 XL1),20480808,True,True,0.671,0.526,28.2,0.318,1.02,201.0,1.79,317.0,20.64,,,,,,
152563 (1992 BF),20152563,True,False,0.908,0.272,7.25,0.661,1.15,316.0,1.14,242.0,19.71,0.272,0.287,32.0,,,
(1995 CR),3005973,True,True,0.907,0.868,4.08,0.119,1.69,315.0,1.14,169.0,21.76,,,2.66,,,
(2010 VQ),3550139,True,False,0.861,0.197,0.346,0.691,1.03,292.0,1.23,110.0,27.72,,,,,,
441987 (2010 NY65),20441987,True,True,1.0,0.37,11.5,0.632,1.38,367.0,0.98,208.0,21.36,0.228,0.071,4.9706,,,
679648 (2019 XS),20679648,True,False,1.01,0.326,4.45,0.678,1.33,369.0,0.977,68.8,23.85,,,2.35,,,
(2002 JR100),3126183,True,False,0.924,0.299,3.71,0.648,1.2,324.0,1.11,278.0,24.3,0.028,0.441,,,,
612197 (2000 WP19),20612197,True,False,0.854,0.288,7.68,0.608,1.1,288.0,1.25,347.0,22.93,,,,,,
(2018 CW2),3799312,True,False,0.76,0.422,5.1,0.439,1.08,242.0,1.49,123.0,25.66,,,,,,
(2003 BN4),3147315,True,False,1.27,0.172,5.59,1.05,1.49,523.0,0.688,335.0,24.26,,,,,,
(2003 FY6),3151655,True,False,0.73,0.582,6.6,0.305,1.15,228.0,1.58,222.0,22.61,,,,,,
(2001 CQ36),3070801,True,False,0.937,0.177,1.26,0.771,1.1,332.0,1.09,195.0,22.74,,,,,,
829223 (2006 CT),20829223,True,False,1.1,0.231,2.74,0.844,1.35,419.0,0.858,194.0,22.28,,,16.69,,,
(2000 PN8),3092269,True,False,1.25,0.217,22.4,0.981,1.52,512.0,0.703,59.3,22.04,,,,,,
(2012 BB124),3597095,True,True,1.15,0.211,15.8,0.911,1.4,453.0,0.794,299.0,21.1,,,,,,
(2011 EP51),3559843,True,False,0.829,0.308,3.43,0.574,1.08,276.0,1.31,31.9,25.2,,,,,,
(2003 YL118),3170231,True,True,1.13,0.486,7.61,0.581,1.68,439.0,0.819,133.0,21.6,,,,,,
827991 (2002 XQ40),20827991,True,False,1.08,0.351,2.19,0.698,1.45,407.0,0.884,272.0,22.4,,,,,,
(2009 WB105),3479013,True,False,0.826,0.253,38.4,0.617,1.03,274.0,1.31,315.0,23.5,,,,,,
364136 (2006 CJ),20364136,True,True,0.677,0.755,10.2,0.166,1.19,203.0,1.77,16.9,20.19,,,,,,
138175 (2000 EE104),20138175,True,True,1.0,0.293,5.23,0.709,1.3,367.0,0.98,84.8,20.49,,,13.324,,,
(2012 GA5),3602525,True,False,1.14,0.0665,7.3,1.07,1.22,446.0,0.807,322.0,24.19,,,,,,
(2016 GW221),3752012,True,False,0.828,0.267,3.76,0.607,1.05,275.0,1.31,70.5,24.75,,,0.2856,,,
(2007 TF68),3388356,True,False,1.41,0.266,26.2,1.03,1.78,609.0,0.591,271.0,22.62,,,,,,
185851 (2000 DP107),20185851,True,True,1.37,0.377,8.67,0.851,1.88,583.0,0.618,309.0,18.31,0.863,0.137,2.7754,3.224e-08,,
(2010 GD35),3515692,True,False,0.764,0.481,7.82,0.397,1.13,244.0,1.47,273.0,24.62,,,,,,
(2018 KR),3824981,True,False,0.885,0.208,1.16,0.701,1.07,304.0,1.18,217.0,26.39,,,,,,
450237 (2002 XY38),20450237,True,False,0.911,0.218,2.12,0.713,1.11,318.0,1.13,294.0,23.18,0.096,0.134,,,,
