full_name,da_dt,e_da_dt,SNR,FAccept,normalized_name,number_only,clean_name
1998 SD9,-0.0197061,0.000106344,185.305,1,1998 sd9,1998,1998 SD9
99942,-0.00132587,1.07888e-05,122.894,1,99942,99942,99942
480883,-0.00504483,5.33209e-05,94.6127,1,480883,480883,480883
2340,-0.00173809,3.04332e-05,57.1118,1,2340,2340,2340
524522,-0.00359165,6.30856e-05,56.9329,1,524522,524522,524522
2002 BF25,0.00719033,0.000127596,56.3522,1,2002 bf25,2002,2002 BF25
2012 UR158,-0.814757,0.0181918,44.787,Rej.,2012 ur158,2012,2012 UR158
523599,0.082924,0.0019957,41.5513,Rej.,523599,523599,523599
2000 EB14,-0.0160609,0.000407499,39.4134,1,2000 eb14,2000,2000 EB14
483656,-0.00800644,0.000219259,36.5159,1,483656,483656,483656
2009 BD,-0.0667463,0.00209795,31.815,Rej.,2009 bd,2009,2009 BD
480808,-0.00327779,0.00011468,28.582,1,480808,480808,480808
152563,-0.00126754,4.44032e-05,28.5462,1,152563,152563,152563
1995 CR,-0.00866538,0.000303574,28.5445,1,1995 cr,1995,1995 CR
2010 VQ,-0.0405427,0.00147993,27.395,1,2010 vq,2010,2010 VQ
441987,-0.00183072,6.85175e-05,26.719,1,441987,441987,441987
2019 XS,-0.00773308,0.00033819,22.8661,1,2019 xs,2019,2019 XS
2002 JR100,-0.013768,0.000631808,21.7914,1,2002 jr100,2002,2002 JR100
612197,0.00961797,0.000443248,21.6989,1,612197,612197,612197
2018 CW2,-0.0291045,0.00141881,20.5134,1,2018 cw2,2018,2018 CW2
2003 BN4,-0.0071304,0.000370508,19.2449,1,2003 bn4,2003,2003 BN4
2003 FY6,-0.00516518,0.000274183,18.8384,1,2003 fy6,2003,2003 FY6
2001 CQ36,-0.00670924,0.000358476,18.716,1,2001 cq36,2001,2001 CQ36
2006 CT,-0.00388821,0.000208268,18.6693,Rej.,2006 ct,2006,2006 CT
2000 PN8,0.00523494,0.000283843,18.443,1,2000 pn8,2000,2000 PN8
2012 BB124,0.00290486,0.000160479,18.1012,1,2012 bb124,2012,2012 BB124
2011 EP51,-0.0168164,0.000962054,17.4797,1,2011 ep51,2011,2011 EP51
2003 YL118,-0.00905692,0.000542347,16.6995,1,2003 yl118,2003,2003 YL118
2002 XQ40,-0.00462836,0.000278696,16.6072,1,2002 xq40,2002,2002 XQ40
2009 WB105,0.00688506,0.00042095,16.356,1,2009 wb105,2009,2009 WB105
364136,-0.00367582,0.000225559,16.2965,1,364136,364136,364136
138175,-0.00446822,0.00027614,16.181,1,138175,138175,138175
2012 GA5,-0.00430032,0.000269532,15.9548,Rej.,2012 ga5,2012,2012 GA5
2016 GW221,-0.00735097,0.000463066,15.8746,1,2016 gw221,2016,2016 GW221
2007 TF68,-0.00805496,0.000512498,15.7171,1,2007 tf68,2007,2007 TF68
185851,0.000407794,2.64667e-05,15.4078,1,185851,185851,185851
2010 GD35,0.011357,0.000743208,15.2811,1,2010 gd35,2010,2010 GD35
2018 KR,-0.0101639,0.000680621,14.9333,1,2018 kr,2018,2018 KR
450237,-0.00526751,0.000352803,14.9304,1,450237,450237,450237
85990,-0.0014786,0.000102112,14.4802,1,85990,85990,85990
2004 JN1,-0.0164312,0.00115145,14.27,Rej.,2004 jn1,2004,2004 JN1
2011 CL50,0.194959,0.013859,14.0674,Rej.,2011 cl50,2011,2011 CL50
