full_name,spkid,neo,pha,a,e,i,q,ad,per,n,ma,H,diameter,albedo,rot_per,GM,spec_B,spec_T,full_name,da_dt,e_da_dt,A2,SNR,FAccept,Tax,deltat
(1998 SD9),3014184,True,False,0.702,0.504,2.99,0.348,1.06,215.0,1.67,233.0,24.09,,,,,,,1998 SD9,-0.0197061,0.000106344,-2.89846e-13,185.305,1,N,19.992
99942 Apophis (2004 MN4),20099942,True,True,0.922,0.191,3.34,0.746,1.1,324.0,1.11,313.0,19.09,0.34,0.35,30.56,,,,99942,-0.00132587,1.07888e-05,-2.88894e-14,122.894,1,N,17.18
480883 (2001 YE4),20480883,True,True,0.677,0.54,4.85,0.311,1.04,203.0,1.77,193.0,20.92,,,,,,,480883,-0.00504483,5.33209e-05,-6.91898e-14,94.6127,1,V,20.085
2340 Hathor (1976 UA),20002340,True,True,0.844,0.45,5.86,0.464,1.22,283.0,1.27,202.0,20.43,0.3,,3.35,,,,2340,-0.00173809,3.04332e-05,-2.99871e-14,57.1118,1,Q,45.12
524522 Zoozve (2002 VE68),20524522,True,True,0.724,0.41,9.04,0.427,1.02,225.0,1.6,329.0,20.54,,,13.5,,,,524522,-0.00359165,6.30856e-05,-5.98376e-14,56.9329,1,N,16.06
(2002 BF25),3102784,True,False,1.07,0.222,6.31,0.837,1.31,407.0,0.885,223.0,22.62,0.152,0.1,,,,,2002 BF25,0.00719033,0.000127596,1.66785e-13,56.3522,1,N,20.027
(2012 UR158),3614980,True,True,2.23,0.858,3.19,0.317,4.15,1220.0,0.296,310.0,20.67,0.629,0.023,,,,,2012 UR158,-0.814757,0.0181918,-7.71304e-12,44.787,Rej.,N,10.07
523599 (2003 RM),20523599,True,False,2.91,0.606,11.0,1.15,4.68,1820.0,0.198,172.0,19.64,,,,,,,523599,0.082924,0.0019957,2.12069e-12,41.5513,Rej.,N,15.2
(2000 EB14),3031176,True,False,0.896,0.496,11.6,0.452,1.34,310.0,1.16,35.3,23.43,,,1.79,,,,2000 EB14,-0.0160609,0.000407499,-2.70053e-13,39.4134,1,N,22.015
483656 (2005 ES70),20483656,True,False,0.763,0.386,20.8,0.468,1.06,244.0,1.48,211.0,23.77,,,1.69,,,,483656,-0.00800644,0.000219259,-1.40104e-13,36.5159,1,N,18.015
(2009 BD),3444297,True,False,1.06,0.0519,1.27,1.01,1.12,400.0,0.9,120.0,28.1,,,,,,,2009 BD,-0.0667463,0.00209795,-1.57655e-12,31.815,Rej.,N,2.423
