full_name,spkid,neo,pha,a,e,i,q,ad,per,n,ma,H,diameter,albedo,rot_per,da_dt,SNR,FAccept
(1998 SD9),3014184.0,1,0,0.702,0.504,2.99,0.348,1.06,215.0,1.67,233.0,24.09,,,,-0.0197061,185.305,1
99942 Apophis (2004 MN4),20099942.0,1,1,0.922,0.191,3.34,0.746,1.1,324.0,1.11,313.0,19.09,0.34,0.35,30.56,-0.00132587,122.894,1
480883 (2001 YE4),20480883.0,1,1,0.677,0.54,4.85,0.311,1.04,203.0,1.77,193.0,20.92,,,,-0.00504483,94.6127,1
2340 Hathor (1976 UA),20002340.0,1,1,0.844,0.45,5.86,0.464,1.22,283.0,1.27,202.0,20.43,0.3,,3.35,-0.00173809,57.1118,1
524522 Zoozve (2002 VE68),20524522.0,1,1,0.724,0.41,9.04,0.427,1.02,225.0,1.6,329.0,20.54,,,13.5,-0.00359165,56.9329,1
(2002 BF25),3102784.0,1,0,1.07,0.222,6.31,0.837,1.31,407.0,0.885,223.0,22.62,0.152,0.1,,0.00719033,56.3522,1
(2012 UR158),3614980.0,1,1,2.23,0.858,3.19,0.317,4.15,1220.0,0.296,310.0,20.67,0.629,0.023,,-0.814757,44.787,0
523599 (2003 RM),20523599.0,1,0,2.91,0.606,11.0,1.15,4.68,1820.0,0.198,172.0,19.64,,,,0.082924,41.5513,0
(2000 EB14),3031176.0,1,0,0.896,0.496,11.6,0.452,1.34,310.0,1.16,35.3,23.43,,,1.79,-0.0160609,39.4134,1
483656 (2005 ES70),20483656.0,1,0,0.763,0.386,20.8,0.468,1.06,244.0,1.48,211.0,23.77,,,1.69,-0.00800644,36.5159,1
(2009 BD),3444297.0,1,0,1.06,0.0519,1.27,1.01,1.12,400.0,0.9,120.0,28.1,,,,-0.0667463,31.815,0
480808 (1994 XL1),20480808.0,1,1,0.671,0.526,28.2,0.318,1.02,201.0,1.79,317.0,20.64,,,,-0.00327779,28.582,1
152563 (1992 BF),20152563.0,1,0,0.908,0.272,7.25,0.661,1.15,316.0,1.14,242.0,19.71,0.272,0.287,32.0,-0.00126754,28.5462,1
(1995 CR),3005973.0,1,1,0.907,0.868,4.08,0.119,1.69,315.0,1.14,169.0,21.76,,,2.66,-0.00866538,28.5445,1
(2010 VQ),3550139.0,1,0,0.861,0.197,0.346,0.691,1.03,292.0,1.23,110.0,27.72,,,,-0.0405427,27.395,1
441987 (2010 NY65),20441987.0,1,1,1.0,0.37,11.5,0.632,1.38,367.0,0.98,208.0,21.36,0.228,0.071,4.9706,-0.00183072,26.719,1
679648 (2019 XS),20679648.0,1,0,1.01,0.326,4.45,0.678,1.33,369.0,0.977,68.8,23.85,,,2.35,-0.00773308,22.8661,1
(2002 JR100),3126183.0,1,0,0.924,0.299,3.71,0.648,1.2,324.0,1.11,278.0,24.3,0.028,0.441,,-0.013768,21.7914,1
612197 (2000 WP19),20612197.0,1,0,0.854,0.288,7.68,0.608,1.1,288.0,1.25,347.0,22.93,,,,0.00961797,21.6989,1
(2018 CW2),3799312.0,1,0,0.76,0.422,5.1,0.439,1.08,242.0,1.49,123.0,25.66,,,,-0.0291045,20.5134,1
(2003 BN4),3147315.0,1,0,1.27,0.172,5.59,1.05,1.49,523.0,0.688,335.0,24.26,,,,-0.0071304,19.2449,1
(2003 FY6),3151655.0,1,0,0.73,0.582,6.6,0.305,1.15,228.0,1.58,222.0,22.61,,,,-0.00516518,18.8384,1
(2001 CQ36),3070801.0,1,0,0.937,0.177,1.26,0.771,1.1,332.0,1.09,195.0,22.74,,,,-0.00670924,18.716,1
829223 (2006 CT),20829223.0,1,0,1.1,0.231,2.74,0.844,1.35,419.0,0.858,194.0,22.28,,,16.69,-0.00388821,18.6693,0
(2000 PN8),3092269.0,1,0,1.25,0.217,22.4,0.981,1.52,512.0,0.703,59.3,22.04,,,,0.00523494,18.443,1
